,data,Tipo,Qtd,Total_Dia,Porcentagem
80,2026-01-19T00:00:00.000,OUTROS,0,17,0
81,2026-01-20T00:00:00.000,OUTROS,0,21,0
82,2026-01-21T00:00:00.000,OUTROS,1,17,0.058823529411764705
83,2026-01-22T00:00:00.000,OUTROS,0,19,0
84,2026-01-23T00:00:00.000,OUTROS,0,14,0
85,2026-01-24T00:00:00.000,OUTROS,0,3,0
86,2026-01-25T00:00:00.000,OUTROS,0,1,0
87,2026-01-26T00:00:00.000,OUTROS,0,17,0
88,2026-01-27T00:00:00.000,OUTROS,0,20,0
89,2026-01-28T00:00:00.000,OUTROS,2,13,0.15384615384615385
90,2026-01-29T00:00:00.000,OUTROS,0,21,0
91,2026-01-30T00:00:00.000,OUTROS,1,21,0.047619047619047616
92,2026-01-31T00:00:00.000,OUTROS,0,10,0
